Game Type,Matchup,X Wins,O Wins,Ties,Average X Move Time (s),Average O Move Time (s),Total Moves,Blocked Wins (X),Blocked Wins (O),Missed Wins (X),Missed Wins (O),X Depth,O Depth,X Iterations,O Iterations,X Exploration Constant,O Exploration Constant
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3716404438018799,0.0010287761688232,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3283227086067199,0.0,8,0,2,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3261511325836181,0.0,7,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3202216625213623,0.0011943181355794,7,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3116689324378967,0.0,8,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2736449241638183,0.0001264810562133,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3785439332326253,0.0006717840830485,6,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3588846921920776,0.0,7,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4043393135070801,0.0006705125172932,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3923156261444092,0.0013399918874104,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.2785768985748291,0.0,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3788305123647054,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
